class,class_1_list,class_2_list,class_4_list
0.0,"[0.37886307, 0.118325144]","[0.52315384, 0.16748422]","[0.09798309, 0.07303995]"
1.0,"[0.87899315, 0.08823709]","[0.11493927, 0.085037254]","[0.0060675377, 0.007928077]"
2.0,"[0.088471316, 0.08046595]","[0.87450147, 0.12093632]","[0.037027124, 0.05241015]"
3.0,"[0.005916849, 0.012971886]","[0.16035035, 0.15021306]","[0.8337328, 0.15534425]"
4.0,"[0.008936052, 0.012189524]","[0.060145315, 0.06300191]","[0.9309187, 0.066205435]"
5.0,"[0.0047341124, 0.013956836]","[0.0361127, 0.039379828]","[0.95915323, 0.052984245]"
6.0,"[0.021591565, 0.030517235]","[0.041828763, 0.059768736]","[0.9365797, 0.08231288]"
7.0,"[0.4530318, 0.12049176]","[0.4729886, 0.16206305]","[0.07397957, 0.05115933]"
8.0,"[0.37705228, 0.14314179]","[0.5497042, 0.18347134]","[0.07324354, 0.063645825]"
9.0,"[0.15035394, 0.097505204]","[0.50859296, 0.2238377]","[0.3410531, 0.17607014]"
